date,title,stars,review,no_scent,noscent_counter
2020-05-19,Smell so good and last for long,5.0 out of 5 stars,Yankee candle are unique I can’t have a Christmas time without it,False,0
2020-05-11,expensive,1.0 out of 5 stars,"doese not worth the price, flavour like of the from cheep candles from loony-toony",False,0
2020-02-15,Smells great.,5.0 out of 5 stars,"After ordering this candle from Hudson’s Bay twice and it being delivered broken, I decided to try to order it from Amazon. Loved it!!! Smells delicious and the product was delivered intact!",False,0
2020-01-23,5 star service,5.0 out of 5 stars,"Great candle and fantastic service from this company. Absolutely loves these candles and this company goes above and beyond, excellent service every time!",False,0
2020-01-14,faible odeur,2.0 out of 5 stars,"malgré deux mèches et un grand pot, l'odeur reste faible en brulant. Décevant !",True,1
2019-12-27,Great smell,5.0 out of 5 stars,Very Nice smell. Not overpowered.,False,0
2019-12-26,No scent...dont waste your money here!,1.0 out of 5 stars,"Let me start by saying that I have been a yankee candle lover for two decades and have bought more candles than I could ever count....theses DO NOT smell like yankee candles!!!!!
So angry to spend that kind of money on what should be a strong scented candle, only to get a candle with next to zero scent!
I just bought the Christmas Cookie from their store in the states and it smells exactly like it should.

Bottom line: dont waste your money here and by it from the store!",True,1
2019-12-18,Last long.,5.0 out of 5 stars,Perfect scent for the holidays.,False,0
2019-12-15,Christmas in a jar!,5.0 out of 5 stars,Best fragrance ever!,False,0
2019-12-11,Size is great but doesn't hold the scent,3.0 out of 5 stars,Expensive candle that doesn't produce the scent I thought it would. It's very mild.,True,1
2021-12-10,Cher au plein prix,5.0 out of 5 stars,"Je m'en sers surtout en cas d'urgence...panne d'électricité. Ça dure vraiment longtemps. Faut que la cire aille le temps de devenir liquide d'un côté a l'autre du pot avant de l'éteindre...sinon la mèche brûle plus vite que le reste de la chandelle et va faire un trou au centre et quand vous voudrez la laisser allumé longtemps , la cire autour va noyé la mèche et s'éteindre ...",False,0
2021-12-04,bon parfun,5.0 out of 5 stars,"parfun, tres agréable, tres doux,",False,0
2021-11-30,L’odeur est parfaite,4.0 out of 5 stars,Le prix est abordable! Le parfum de la chandelle est sublime et dure longtemps,False,0
2021-10-27,No smell,1.0 out of 5 stars,"Very disappointed. Haven't bought this product for a long time, mainly the price. Decided to buy and now I wish I didn't.",True,1
2021-10-19,Lovely scented candle,5.0 out of 5 stars,Very nice candle. Was given as a gift and she loved it!,False,0
2021-09-19,Genial,5.0 out of 5 stars,Love it,False,0
2021-09-16,It smells marvelous 💖💖💖,4.0 out of 5 stars,I haven't ever smelt lilac this well. Bought one and like it sooo much that I bought a second a week later. Lilacs a plenty with help from Yankee candle,False,0
2021-08-28,wonderful fragrance,5.0 out of 5 stars,"nice and light , beautiful scent",False,0
2021-05-24,Has no scent,1.0 out of 5 stars,This candle has no smell. Unless you stick your nose in it while burning. What a disappointment!,True,1
2021-05-17,Candle,5.0 out of 5 stars,Was a birthday gift for my sister and she absolutely loves it,False,0
2021-05-14,Beautifully fills the room with an island scent,5.0 out of 5 stars,"Ive always been curious as to what this candle smelt like and I read all the reviews and eventually broke down and bought it. Love it! Great summer scent. If I burn too long it triggers a headache only because Im not use to sweeter, citrus/florally scents, but definitely has gotten me compliments. Would definitely buy around to mix up my candle scents around the house.",False,0
2021-05-12,Scent not for me,1.0 out of 5 stars,I read the reviews to see if this would be a scent for me. Definitely not a walk on the beach! more like a walk into my grandmother's bathroom - the perfume / soapy/ powder notes is just not a scent for me!,False,0
2021-05-06,Not getting what I paid for...,1.0 out of 5 stars,"So I ordered a Lilac Blossoms scented candle, but I received a box for a Lilac Blossom Scented candle but inside was a Mango Peach Salsa scented candle. Not impressed considering the cost of these candles..",False,0
2021-04-27,"Nice, Expensive and burns quick.",4.0 out of 5 stars,The scent is really nice It’s a good candle. It burns nice and evenly but pretty fast. It’s pretty expensive for a candle. (I guess that’s just the brand) It would make a great gift. I bought one more in a different scent and will see if I can make it last longer,False,0
2021-04-27,Like it but my nose not so much,4.0 out of 5 stars,"I love the smell of lilacs and when I got the winter blues, I figured this would help lift my spirits up a bit. The smell is very much ""lilacy"", almost too much so. If we leave it on for too long, both my hubby and I start getting stuffed up. We still use it occasionally, we simply make sure to not leave it on too long. By the size of it, it looks like we'll have it for a while lol",False,0
2021-04-24,😡,1.0 out of 5 stars,Came broken!!!,False,0
2021-04-16,Simply the best,5.0 out of 5 stars,Best lilac candle on the market !,False,0
2021-04-15,Very very strong,1.0 out of 5 stars,Usually I like these candles however this one very very strong . Probably not wise to burn around your pets . Makes my eyes water .,False,0
2021-03-09,Great quality!,5.0 out of 5 stars,"One of my new favourite scents, it’s very subtle, so perfect if you don’t like overwhelming scents!",False,0
2021-03-05,Great product,5.0 out of 5 stars,Great product,False,0
2021-03-03,Beautiful Smell!,5.0 out of 5 stars,Soo nice.,False,0
2021-02-28,Do Not Buy,1.0 out of 5 stars,This product is not a real Yankee candle I looked up the bar code because packaging looked off and sure enough it is fake. 😒,False,0
2021-02-28,Smells fabulous,5.0 out of 5 stars,My whole family loves the scent of this beautiful candle. Thank you so very much.,False,0
2021-02-26,Will be ordering again!,5.0 out of 5 stars,We enjoyed the scent,False,0
2021-02-24,Authentic Lilac aroma,5.0 out of 5 stars,"Love the scent, very relaxing 😌",False,0
2021-02-21,Sens pas grand chose,3.0 out of 5 stars,Tres beau mais le parfum est faible,True,1
2021-02-05,Best scent ever!,5.0 out of 5 stars,By far the most fragrant candle I’ve had. Get tons of compliments on the scent. Long lasting..love it,False,0
2021-02-01,Prefer it to the smell of lavendar.,5.0 out of 5 stars,Truly smells like a lilac bush. Always loved the smell of lilacs.,False,0
2021-01-30,damaged packaging and damaged glass jar,1.0 out of 5 stars,"When I received my yankee candle, lavender vanilla, the top of the glass was broken and jagged. I cut my finger on it getting it out of the packaging. The packaging (cardboard) was also damaged. I would like another candle free of charge to replace this damaged one please.",False,0
2021-01-30,Well packed smells great!,5.0 out of 5 stars,"Came well packed no issues , it smells beautiful very soft pleasant scent.",False,0
2021-01-30,Ok,5.0 out of 5 stars,Très beau à offrir en cadeau,False,0
2021-01-18,Disappointed,1.0 out of 5 stars,"I miss my Grandma. Her favourite flower was lilac. I ordered this candle on her birthday. Unfortunately, when I received it, the Yankee Candle packaging did say lilac but when I opened it, it was an overpowering black candle... I think Mid Summer Night. I have wondered what that one smelled like but turns out I hate it. Had to return. Will try again next birthday, I guess.",False,0
2021-01-14,Smells SOOOO good,5.0 out of 5 stars,"Bought this as a Christmas gift for my sister and she loved it. If you love lavender and vanilla, you can't go wrong! The last time I bought one of these candles, it lasted me 3 months!",False,0
2021-01-14,The Best Yankee Candle Ever. Smells like Heaven and burns for a long time,5.0 out of 5 stars,Best Smelling Yankee Candle Hands Down,False,0
2021-01-10,Lilac Candle,5.0 out of 5 stars,"My girlfriend loooooves lilac candles. So I buy them frequently. The price does seem excessive for a scented lantern, but the smell is good and it lasts quite a long time.",False,0
2021-01-10,U Can do Better,1.0 out of 5 stars,"No discernable scent.
Packaging eh
Glass very heavy to lift up or mail
Not impressed quite expensive considering the price",True,1
2021-01-03,"Great candle, shoutout to Masego",5.0 out of 5 stars,Heard about this candle from a Masego interview and my partner bought this for me as a gift. I have been destroying this candle and must ration it more. Scents are personalized of course but for me this scent absolutely SLAPS. It has a sweet fruitiness with a tiny bit of floral scent that does not smell like an old person's bathroom.,False,0
2020-12-24,Yankee Candle Lilac Blossoms Large Jar 22 oz Candle,5.0 out of 5 stars,"Love Yankee Candles. They have a great scent that can fill large rooms, while still being subtle and fragrant. Burns very evenly. This is a great scent to boost relaxation and calmness.",False,0
2020-12-09,Great scent,5.0 out of 5 stars,Loved it. First one gone now. Need more,False,0
